[4620/300000] -- step:57798 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.774 -- time:0.0017
[4640/300000] -- step:58117 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.773 -- time:0.0143
[4660/300000] -- step:58357 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.772 -- time:0.0123
[4680/300000] -- step:58625 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.771 -- time:0.0138
[4700/300000] -- step:58911 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.77 -- time:0.0136
[4720/300000] -- step:59179 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.769 -- time:0.0121
[4740/300000] -- step:59493 -- avg_reward:0.1 -- best_reward:1.0  -- eps:0.768 -- time:0.0122
[4760/300000] -- step:59761 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.768 -- time:0.0125
[4780/300000] -- step:60001 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.767 -- time:0.0137
[4800/300000] -- step:60318 -- avg_reward:0.2 -- best_reward:2.0  -- eps:0.766 -- time:0.0018
[4820/300000] -- step:60638 -- avg_reward:0.4 -- best_reward:2.0  -- eps:0.765 -- time:0.0034
[4840/300000] -- step:60962 -- avg_reward:0.3 -- best_reward:2.0  -- eps:0.764 -- time:0.0017
[4860/300000] -- step:61230 -- avg_reward:0.3 -- best_reward:2.0  -- eps:0.763 -- time:0.0029
[4880/300000] -- step:61565 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.762 -- time:0.0127
[4900/300000] -- step:61861 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.761 -- time:0.0147
[4920/300000] -- step:62129 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.76 -- time:0.0129
[4940/300000] -- step:62397 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.759 -- time:0.0132
[4960/300000] -- step:62783 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.758 -- time:0.0147
[4980/300000] -- step:63023 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.757 -- time:0.0126
[5000/300000] -- step:63291 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.756 -- time:0.0132
[5020/300000] -- step:63559 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.755 -- time:0.014
[5040/300000] -- step:63879 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.754 -- time:0.0126
[5060/300000] -- step:64147 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.753 -- time:0.0125
[5080/300000] -- step:64387 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.752 -- time:0.0141
[5100/300000] -- step:64627 -- avg_reward:0.0 -- best_reward:0.0  -- eps:0.751 -- time:0.0128
